association	dataset	threshold value	standardized value
POLR2A_MCF-7_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Head and Neck squamous cell carcinoma_HNSC_TCGA-CN-6023-01A-11R-1686-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
PKD domain	InterPro Predicted Protein Domain Annotations	1.0	null
parietal lobe	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.916496
LU-139	COSMIC Cell Line Gene Mutation Profiles	1.0	null
mdck cell	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.221521
UACC-62	COSMIC Cell Line Gene Mutation Profiles	1.0	null
anterior (rostral) cingulate (medial prefrontal) cortex_9 pcw_M_12833	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.16491
testis_7e	HPA Tissue Sample Gene Expression Profiles	1.0	0.893673
BRD-K94090114	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.88871
HT	COSMIC Cell Line Gene Mutation Profiles	1.0	null
GTEX-QDVN-0826-SM-48TZ2	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
PLC/PRF/5	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.12685
Lung squamous cell carcinoma_LUSC_TCGA-63-A5ML-01A-31R-A27Q-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
VCAP	DepMap CRISPR Gene Dependency	1.0	2.05309
caudal ganglionic eminence	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.34504
CROCC	Pathway Commons Protein-Protein Interactions	1.0	null
POLG	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-X4XX-0011-R10B-SM-46MWO	GTEx Tissue Sample Gene Expression Profiles	1.0	1.13238
Lissencephaly	DisGeNET Gene-Disease Associations	1.0	null
H3K27me3_CD14-positive monocyte_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
EZH2_skeletal muscle myoblast_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-PLZ4-0926-SM-2S1OI	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-TSE9-3126-SM-4DXSY	GTEx Tissue Sample Gene Expression Profiles	1.0	0.850314
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma_DLBC_TCGA-FA-8693-01A-11R-2404-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
NRF1_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
gamma-amino butyric acid metabolism disorder	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	0.594064
HMGN3	ENCODE Transcription Factor Targets	1.0	null
H3K4me3_Adult Liver	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
GTEX-WY7C-2426-SM-3NB2V	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
hsa-miR-188-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.809003
GTEX-XLM4-0011-R4B-SM-4AT5C	GTEx Tissue Sample Gene Expression Profiles	1.0	1.04427
hsa-miR-519d	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.880544
interleukin-35 complex	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.203361
MAX_A549_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-WZTO-0011-R4A-SM-3NMC7	GTEx Tissue Sample Gene Expression Profiles	1.0	1.14573
GTEX-XOT4-0008-SM-4B664	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
NCIH522	CCLE Cell Line Gene CNV Profiles	1.0	3.2803
GTEX-S4P3-1626-SM-3K2AZ	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-NPJ8-1826-SM-2YUNC	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
abnormality of iron homeostasis	GWASdb SNP-Phenotype Associations	1.0	0.428264
risedronate	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.37064
MERO14	DepMap CRISPR Gene Dependency	1.0	3.01171
GTEX-QMR6-0011-R5A-SM-32PKT	GTEx Tissue Sample Gene Expression Profiles	1.0	0.832422
SCC-25	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.3534
GTEX-N7MT-1226-SM-2D7W4	GTEx Tissue Sample Gene Expression Profiles	1.0	0.989263
H3K9ac_NT2-D1_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-S7SF-2226-SM-3K2BG	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
downregulates	GeneRIF Biological Term Annotations	1.0	null
negative regulation of dendrite development	GO Biological Process Annotations 2023	1.0	null
Sarcoma_SARC_TCGA-PT-A8TR-01A-11R-A37L-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K85232515	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.19318
H3K4me1_HepG2_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me1_brown adipose tissue_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
KHM-1B	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.0727
EVSAT	CCLE Cell Line Gene CNV Profiles	1.0	1.90566
SNU-484	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.854565
H3K27me3_skeletal muscle myoblast_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
COR-L321	COSMIC Cell Line Gene Mutation Profiles	1.0	null
SOX5	JASPAR Predicted Transcription Factor Targets	1.0	null
CEBPB	ENCODE Transcription Factor Targets	1.0	null
GTEX-N7MT-0011-R6a-SM-2I3G3	GTEx Tissue Sample Gene Expression Profiles	1.0	1.09021
primary auditory cortex (core)_21 pcw_F_12365	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	2.23373
ZNF143_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SNX19	Pathway Commons Protein-Protein Interactions	1.0	null
pathways	GeneRIF Biological Term Annotations	1.0	null
r4 part of medial paralemniscal nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.11423
RBFA	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-PWOO-2326-SM-2S1PQ	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
acquired metabolic disease	GWASdb SNP-Disease Associations	1.0	0.125785
NCIH2110	CCLE Cell Line Gene Expression Profiles	1.0	1.48442
GTEX-PWO3-0926-SM-2I5EY	GTEx Tissue Sample Gene Expression Profiles	1.0	0.841789
excretory gland	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.052153
negative regulation of cellular component organization	GO Biological Process Annotations 2015	1.0	null
positive regulation of intracellular signal transduction	GO Biological Process Annotations 2023	1.0	null
GTEX-X4XX-3026-SM-3NMB2	GTEx Tissue Sample Gene Expression Profiles	1.0	0.99506
BRD-K73126584	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.71836
regulation of neurogenesis	GO Biological Process Annotations 2015	1.0	null
MDA-MB-415	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	0.842297
NCIH1793	CCLE Cell Line Gene Expression Profiles	1.0	2.35659
GTEX-WH7G-0008-SM-4LVNM	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
SP in caudal subicular cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	0.847803
H3K4me2_fibroblast of lung_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
OVCAR-8	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.87218
HMY-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.91506
ME-180	COSMIC Cell Line Gene Mutation Profiles	1.0	null
HDAC1_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-X261-0011-R5A-SM-3NMB4	GTEx Tissue Sample Gene Expression Profiles	1.0	0.842295
GTEX-PVOW-0011-R3A-SM-32PKX	GTEx Tissue Sample Gene Expression Profiles	1.0	1.54531
posteroventral (inferior) parietal cortex_17 pcw_F_12880	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	2.07713
GTEX-WK11-2526-SM-3NM9Y	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
brain_3b	HPA Tissue Sample Gene Expression Profiles	1.0	1.18897
PHOX2B-30127528-KELLY-HUMAN-BRAINNEUROBLASTOMA	ChEA Transcription Factor Targets 2022	1.0	null
BRD-K28057105	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.35276
HCC364	CCLE Cell Line Gene CNV Profiles	-1.0	-1.40491
CAKI2	CCLE Cell Line Gene Expression Profiles	1.0	1.46436
SAMD9L	Pathway Commons Protein-Protein Interactions	1.0	null
facial motor nucleus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-0.869041
CEBPB_A549_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_fibroblast of lung_hg19_7	ENCODE Histone Modification Site Profiles	1.0	null
EP300	ENCODE Transcription Factor Targets	1.0	null
Head and Neck squamous cell carcinoma_HNSC_TCGA-UF-A71E-01A-31R-A34R-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Kidney renal papillary cell carcinoma_KIRP_TCGA-F9-A8NY-01A-11R-A36F-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-WCDI-0008-SM-47JYE	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Head and Neck squamous cell carcinoma_HNSC_TCGA-CQ-A4CI-01A-11R-A266-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-X4EP-3226-SM-3P5YR	GTEx Tissue Sample Gene Expression Profiles	1.0	0.852236
inferolateral temporal cortex (area TEv, area 20)_21 pcw_M_12886	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.35155
KDM1A	ENCODE Transcription Factor Targets	1.0	null
Crus 1, molecular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.0361
SNU-1040	COSMIC Cell Line Gene Mutation Profiles	1.0	null
MAX_MCF-7_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_astrocyte of the cerebellum_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
PRKAR1B	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me3_cardiac mesoderm_hg19_4	ENCODE Histone Modification Site Profiles	1.0	null
Primary motor area, Layer 6a	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.15626
UQCRFS1	Pathway Commons Protein-Protein Interactions	1.0	null
choroid plexus of the lateral ventricle	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-2.06808
GLTSCR1	Pathway Commons Protein-Protein Interactions	1.0	null
agnosia	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	0.815514
GTEX-UTHO-2926-SM-3P5Z9	GTEx Tissue Sample Gene Expression Profiles	1.0	0.968406
TYK-NU	COSMIC Cell Line Gene Mutation Profiles	1.0	null
negative regulation of cell projection organization	GO Biological Process Annotations 2015	1.0	null
NCI 460	BioGPS Cell Line Gene Expression Profiles	1.0	2.41625
arteriosclerosis	GWASdb SNP-Phenotype Associations	1.0	0.326297
PSMA3	Pathway Commons Protein-Protein Interactions	1.0	null
H3K27me3_bronchial epithelial cell_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K52731672	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.75995
H3K4me3_keratinocyte_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
A549	GDSC Cell Line Gene Expression Profiles	1.0	1.43303
animal	TISSUES Experimental Tissue Protein Expression Evidence Scores	1.0	1.0758
lateral ganglionic eminence_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.46843
GTEX-WVLH-0011-R4A-SM-3MJFS	GTEx Tissue Sample Gene Expression Profiles	1.0	1.066
ISL1-30127528-BE2C-HUMAN-BRAIN-NEUROBLASTOMA	ChEA Transcription Factor Targets 2022	1.0	null
TRIM	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.03355
endosome	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.085602
hsa-miR-190b	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.880544
INSM1	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K96627018	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.41291
GTEX-T6MN-2626-SM-32PMQ	GTEx Tissue Sample Gene Expression Profiles	1.0	1.11674
BRD-K57489406	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.0695
H3K9ac_Colonic Mucosa	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
Bladder Urothelial Carcinoma_BLCA_TCGA-DK-A1AE-01A-11R-A13Y-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-XUYS-0326-SM-47JX2	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
primary auditory cortex (core)_24 pcw_M_12288	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.25768
MHHNB11	DepMap CRISPR Gene Dependency	1.0	3.69943
GTEX-T2IS-0011-R6A-SM-32QP2	GTEx Tissue Sample Gene Expression Profiles	1.0	1.18834
BRD-K17610834	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.18037
atherosclerosis	GWASdb SNP-Disease Associations	1.0	0.892579
Bladder Urothelial Carcinoma_BLCA_TCGA-LT-A5Z6-01A-11R-A28M-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
ELK1_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
internal female genital organ	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.052417
BRD-K74506886	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.94362
BRD-K75065750	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.6004
Brain Lower Grade Glioma_LGG_TCGA-E1-A7YY-01A-11R-A34R-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me3_erythroblast_mm9_2	ENCODE Histone Modification Site Profiles	1.0	null
cerebral gray matter	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.700262
POLR2A_A549_hg19_4	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-QDT8-0011-R7A-SM-32PKF	GTEx Tissue Sample Gene Expression Profiles	1.0	1.30958
VZ in primary visual cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-0.893672
NCI-H1755	GDSC Cell Line Gene Expression Profiles	1.0	1.63619
ABC-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.15446
H3K4me1_erythroblast_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-Q2AG-0011-R4A-SM-2HMKA	GTEx Tissue Sample Gene Expression Profiles	1.0	1.20785
SNU-484	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.12286
NCI-H1435	COSMIC Cell Line Gene Mutation Profiles	1.0	null
BRD-K92372829	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.26667
abnormality of the cardiovascular system	GWASdb SNP-Phenotype Associations	1.0	0.060592
POLR2A_HeLa-S3_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
21205295-TableS1	GeneSigDB Published Gene Signatures	1.0	null
HCC-15	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.01882
BT483	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	-1.0	-1.30648
fourth ventricle	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.694128
H3K27ac_HeLa-S3_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
CGTH-W-1	COSMIC Cell Line Gene Mutation Profiles	1.0	null
BRD-K22718400	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.17307
intracellular part	LOCATE Predicted Protein Localization Annotations	1.0	null
BRD-K62774106	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.15126
Pheochromocytoma and Paraganglioma_PCPG_TCGA-WB-A81A-01A-11R-A35L-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K73001304	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.90666
H3K4me3_LNCaP clone FGC_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
H3K27me3_megakaryocyte_mm9_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Kidney renal papillary cell carcinoma_KIRP_TCGA-AL-A5DJ-01A-11R-A26U-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K94409042	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.91937
nucleus	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.280349
variants	GeneRIF Biological Term Annotations	1.0	null
OVKATE	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.70882
POLR2A_A549_hg19_5	ENCODE Transcription Factor Binding Site Profiles	1.0	null
tissues, cell types and enzyme sources	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.700671
SH2B1	Pathway Commons Protein-Protein Interactions	1.0	null
orbital frontal cortex_9 pcw_M_12833	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.33077
SIN3A_MCF-7_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
early endosome	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.167125
ZC3H7B	Pathway Commons Protein-Protein Interactions	1.0	null
CJM	CCLE Cell Line Gene Expression Profiles	-1.0	-2.35712
kidney cell line	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.060029
ELF1_GM12878_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
CYBA	Pathway Commons Protein-Protein Interactions	1.0	null
MYC_MCF 10A_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
MIB1	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-N7MS-0011-R10A-SM-2HMJK	GTEx Tissue Sample Gene Expression Profiles	1.0	1.13492
cellular_component	GO Cellular Component Annotations 2015	1.0	null
H3K4me3_epithelial cell of proximal tubule_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
atherosclerosis	GWASdb SNP-Phenotype Associations	1.0	0.351707
E2F1_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
auditory	GeneRIF Biological Term Annotations	1.0	null
Cervical squamous cell carcinoma and endocervical adenocarcinoma_CESC_TCGA-VS-A952-01A-11R-A38B-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-A25184723	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.17276
provide	GeneRIF Biological Term Annotations	1.0	null
GTEX-S7SE-0011-R11A-SM-2XCDD	GTEx Tissue Sample Gene Expression Profiles	1.0	1.22706
TC205	DepMap CRISPR Gene Dependency	1.0	3.28624
Uterine Carcinosarcoma_UCS_TCGA-N5-A4RT-01A-11R-A28V-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
PECAPJ34CLONEC12	CCLE Cell Line Gene CNV Profiles	1.0	1.44994
SOX2	ChEA Transcription Factor Targets	1.0	null
MYOG	ENCODE Transcription Factor Targets	1.0	null
H3K4me3_A549_hg19_3	ENCODE Histone Modification Site Profiles	1.0	null
Lung squamous cell carcinoma_LUSC_TCGA-63-A5M9-01A-11R-A26W-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-WL46-3026-SM-3LK7Z	GTEx Tissue Sample Gene Expression Profiles	1.0	1.2177
GTEX-N7MS-0011-R2a-SM-2HML6	GTEx Tissue Sample Gene Expression Profiles	1.0	0.855945
RFX5_HepG2_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
OCUG1	DepMap CRISPR Gene Dependency	1.0	4.71347
GTEX-X261-0011-R11A-SM-4E3JY	GTEx Tissue Sample Gene Expression Profiles	1.0	1.12979
macromolecular complex	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.040298
GTEX-T5JC-2326-SM-32PMR	GTEx Tissue Sample Gene Expression Profiles	1.0	0.983032
UM-UC-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-0.881948
BRD-K61124142	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.01923
HS 839.T	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.970961
GTEX-QMRM-0008-SM-447B1	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.87138
CP in caudal hippocampus	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	2.52997
GTEX-RNOR-2326-SM-2TF4I	GTEx Tissue Sample Gene Expression Profiles	1.0	1.10629
HCC202	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	-1.0	-0.652897
EZH2_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K09895564	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.81784
BRD-K47776393	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.29966
RPS27L	Pathway Commons Protein-Protein Interactions	1.0	null
DMS153	CCLE Cell Line Gene Expression Profiles	1.0	1.38027
